jobTitle,companyName,location,salary,employmentType,seniority,tags_skills,postedAt,jobId,jobUrl,companyUrl,description,url
"Čašník - brigádne - vyberte si vhodné časy, kedy chcete brigádovať",SmartHotel s. r. o.,Bratislava,"[""7"",""10"",""EUR"",""hod.""]","na dohodu (brigády), živnosť",,"Požiadavky na zamestnanca
Pozícii vyhovujú uchádzači so vzdelaním
stredoškolské bez maturity
stredoškolské s maturitou
nadstavbové/vyššie odborné vzdelanie
študent vysokej školy
Osobnostné predpoklady a zručnosti
Zodpovednosť za zverené úlohy
Dochvíľnosť a presnosť v práci
Chuť pracovať v kolektíve
Príjemné vystupovanie a komunikácia
Skúsenosti v oblasti gastronómie
Flexibilita a ochota učiť sa
Základné znalosti o nápojoch a jedlách
Stredoškolské vzdelanie výhodou
Vek minimálne 18 rokov",2025-09-26T00:00:00.000Z,5165122,https://www.profesia.sk/praca/smarthotel/O5165122,https://www.profesia.sk/praca/smarthotel-s-r-o/C268064,"Hľadáme čašníkov na brigádne zamestnanie v hoteloch v Bratislave. Môžete si vybrať časy, kedy chcete brigádovať, či už sú to raňajky, poobedné zmeny, celodenné zmeny alebo nočné akcie.

Požadujeme prax v odbore alebo absolvovanie hotelovej školy. Naša dress code pre čašníkov zahŕňa bielu košeľu, čierne slušné nohavice a čierne čašnícke topánky.

",https://www.profesia.sk/praca/smarthotel/O5165122?search_id=2c44acda-4082-4f27-b7f2-60aa3fc87c1b
Administratívny pracovník v sklade na 2-zmennej prevádzke,PLASTOBAL SK s. r. o.,Humenné,"[""1100"",""1100"",""EUR"",""mesiac""]",plný úväzok,,"Požiadavky na zamestnanca
Pozícii vyhovujú uchádzači so vzdelaním
stredoškolské s maturitou
nadstavbové/vyššie odborné vzdelanie
vysokoškolské I. stupňa
vysokoškolské II. stupňa
vysokoškolské III. stupňa
Vodičský preukaz
B
Počet rokov praxe
1
Osobnostné predpoklady a zručnosti

prax v administratíve alebo logistike vítaná,

znalosť práce s PC (MS Office, Excel – tabuľky, základné výpočty),

schopnosť pracovať v skladovom/účtovnom softvéri výhoda systém Baris

zmysel pre presnosť a detail (spracovanie dokladov, kontrola dát),

organizačné schopnosti a systematický prístup,

schopnosť komunikácie s kolegami zo skladu, vodičmi aj obchodníkmi,

odolnosť voči stresu a schopnosť riešiť operatívne situácie,

technické myslenie – orientácia v druhoch tovaru a skladových procesoch,

samostatnosť a zodpovednosť.",2025-09-26T00:00:00.000Z,5165120,https://www.profesia.sk/praca/plastobal-sk/O5165120,https://www.profesia.sk/praca/plastobal-sk-s-r-o/C252127,"spracovanie a evidencia príjmov a výdajov tovaru v internom systéme,

vystavovanie dodacích listov, faktúr a sprievodnej dokumentácie,

kontrola správnosti dokladov k tovaru a riešenie nezrovnalostí,

komunikácia so skladníkmi, vodičmi a obchodným oddelením,

vedenie a aktualizácia skladovej evidencie,

administratívna podpora pri inventúrach,

spracovanie objednávok a príprava podkladov pre logistiku,

archivácia dokumentov a práca s internými databázami.",https://www.profesia.sk/praca/plastobal-sk/O5165120?search_id=2c44acda-4082-4f27-b7f2-60aa3fc87c1b
Skladový pracovník na plný úväzok,FORTIS DK s.r.o.,"Opatovská cesta 10, Košice","[""1300"",""1300"",""EUR"",""mesiac""]","plný úväzok, skrátený úväzok",,"Požiadavky na zamestnanca
Pozícii vyhovujú uchádzači so vzdelaním
stredoškolské bez maturity
stredoškolské s maturitou
nadstavbové/vyššie odborné vzdelanie
vysokoškolské I. stupňa
vysokoškolské II. stupňa
Vodičský preukaz
B
Počet rokov praxe
3
Osobnostné predpoklady a zručnosti
- zodpovednosť
- presnosť, dôslednosť, zručnosť (aj manuálna)
- nekonfliktnosť, adaptívnosť",2025-09-26T00:00:00.000Z,5165117,https://www.profesia.sk/praca/fortis-dk/O5165117,https://www.profesia.sk/praca/fortis-dk-s-r-o/C25806,"- príjem a výdaj tovaru
- práca s paletami, balenie tovaru
- práca s nízkozdvižným a vysokozdvižným paletovacím vozíkom
- udržiavanie poriadku v sklade",https://www.profesia.sk/praca/fortis-dk/O5165117?search_id=2c44acda-4082-4f27-b7f2-60aa3fc87c1b
Service Coordinator / Field Service Coordinator,"Jens&Litwak CZ, s.r.o.",Bratislava,"[""1800"",""1800"",""EUR"",""mesiac""]",plný úväzok,,"Požiadavky na zamestnanca
Pozícii vyhovujú uchádzači so vzdelaním
stredoškolské s maturitou
vysokoškolské I. stupňa
vysokoškolské II. stupňa
Jazykové znalosti
Anglický jazyk - Stredne pokročilý (B2)
Osobnostné predpoklady a zručnosti

Požiadavky na zamestnanca

Osobnostné predpoklady: systematickosť, zodpovednosť, time management, dôslednosť, komunikačné a koordinačné schopnosti; prívetivý, nápomocný a rešpektujúci štýl.


Skúsenosti: ideálne aspoň 3 roky v zákazníckej podpore, administratíve alebo obdobnej role.

Jazyky: Angličtina B2 (bežná denná komunikácia, ale veľmi intenzívna, potrebujeme naozaj niekoho, kto sa nebojí rozprávať, zdvihnúť telefón a vybaviť veci po anglicky so zákazníkom).

IT zručnosti: solídne MS Office (Excel, Word, PowerPoint); SAP a CRM (Salesforce výhodou).",2025-09-26T00:00:00.000Z,5165113,https://www.profesia.sk/praca/jens-litwak-cz/O5165113,https://www.profesia.sk/praca/jens-litwak-cz-s-r-o/C156514,"Hľadáme koordinátorku Servisného oddelenia, ktorá pomôže udržať hladký chod servisných procesov a výbornú zákaznícku skúsenosť. V úzkej spolupráci s Head of Service a tímom Customer Support budete:




Zákaznícka a servisná podpora

Prijímať a spracovávať servisné dopyty/telefonáty, komunikovať so zákazníkmi a technikmi.
Zakladať a spravovať servisné tikety v CRM (Salesforce), dohliadať na ich úplnosť, správnosť a včasné uzatváranie; eskalovať podľa potreby.
Proaktívne informovať zákazníkov o stave riešenia a zabezpečiť následné kroky k spokojnosti zákazníka.

Administratíva a prevádzka

Fakturovať servisné zásahy a náhradné diely, sledovať úhrady a viesť upomienkový (dunning) proces.
Udržiavať dáta v CRM aktuálne a presné; pripravovať pravidelné reporty podľa firemných guideline-ov.
Zabezpečovať nákup spotrebného materiálu pre servis, administráciu skladu v Bratislave (príjem/výdaj), vrátane organizácie transportu (jigy, náradie).
Koordinovať povinné BOZP/Health & Safety školenia a dodržiavanie štandardov.
Viesť dochádzkovú administratívu tímu Customer Support.

Spolupráca a súlad

Pôsobiť ako komunikačný uzol medzi internými tímami naprieč oddeleniami.
Plniť úlohy zadané nadriadenými a internými partnermi; dodržiavať firemné politiky




Prečo sa pridať

Budete súčasťou špičkovej technologickej firmy v high tech mechanical engineering segmente  s medzinárodným servisným tímom a vysokým štandardom kvality.

Možnosť učiť sa od expertov a podieľať sa na zlepšovaní servisných procesov.

Stabilné zázemie, férová odmena a benefity zodpovedajúce výkonnosti.",https://www.profesia.sk/praca/jens-litwak-cz/O5165113?search_id=2c44acda-4082-4f27-b7f2-60aa3fc87c1b
Medicínsky reprezentant pre Banskobystrický kraj,"BELUPO, s.r.o.",Banskobystrický kraj (Práca vyžaduje cestovanie),"[""1500"",""1500"",""EUR"",""mesiac""]",plný úväzok,,"Požiadavky na zamestnanca
Pozícii vyhovujú uchádzači so vzdelaním
nadstavbové/vyššie odborné vzdelanie
vysokoškolské I. stupňa
vysokoškolské II. stupňa
vysokoškolské III. stupňa
Vzdelanie v odbore
farmácia, veterina, prírodné vedy a príbuzné odbory.
Jazykové znalosti
Anglický jazyk - Úplný začiatočník (A1)
Ostatné znalosti
Microsoft Excel - Pokročilý
Microsoft PowerPoint - Pokročilý
Vodičský preukaz
B
Prax na pozícii/v oblasti
5
Počet rokov praxe
5
Osobnostné predpoklady a zručnosti
PODMIENKA: minimum 5 rokov praxe vo farmaceutickom priemysle na pozícii medicínskeho reprezentanta 
pracovné skúsenosti v oblasti dermatológie a urológie výhodou
výborná znalosť trhu a konkurencie v oblasti definovaného produktového portfólia je výhodou
orientácia v oblasti OTC a kozmetických produktov výhodou
výborné predajné a prezentačné zručnosti
sedliacky rozum a vytrvalosť
samostatnosť a pracovitosť
proaktívny prístup k práci a zodpovednosť
tímový hráč
chuť vzdelávať sa",2025-09-26T00:00:00.000Z,5165112,https://www.profesia.sk/praca/belupo/O5165112,https://www.profesia.sk/praca/belupo-s-r-o/C28683,"pravidelné návštevy lekární a lekárov vo zverenom regióne : BB, BS, BR, ZV, VK, KA, DT, LV, ZC, ZH, PE 
prezentácia spoločnosti a produktov v odborných kruhoch (DER, URO, NEU, ALG, PED, GP, lekárne)
vysoká miera samostatnosti v teréne
dosiahnutie stanovených predajných plánov
odborná edukácia klientov, organizácia seminárov v lekárňach
účasť na odborných podujatiach 
reporting: CRM, TBP, Excel
možnosť nástupu do zamestnania od 20.10.2025 ",https://www.profesia.sk/praca/belupo/O5165112?search_id=2c44acda-4082-4f27-b7f2-60aa3fc87c1b
Autoklampiar,"Motorr Martin, s. r. o.","Motorr Martin, s.r.o., Francúzskych partizánov, Martin-Záturčie","[""1800"",""2600"",""EUR"",""mesiac""]",plný úväzok,,"Požiadavky na zamestnanca
Pozícii vyhovujú uchádzači so vzdelaním
stredoškolské bez maturity
Vzdelanie v odbore
Autoopravár - karosár
Vodičský preukaz
B
Prax na pozícii/v oblasti
Autoopravár - karosár - nutná
Počet rokov praxe
2
Osobnostné predpoklady a zručnosti
Ovládanie konštrukcie vozidla
Znalosť nových technológií výhodou
Technické myslenie a manuálna zručnosť
Po zaučení schopnosť samostatnej práce
Dôslednosť a zodpovednosť
Proaktívny prístup a lojálnosť
Chuť učiť sa nové veci
Tímový duch
Požadované vzdelanie: stredné odborné bez maturity v obore Autoopravár - karosár",2025-09-11T00:00:00.000Z,5001453,https://www.profesia.sk/praca/motorr-martin/O5001453,https://www.profesia.sk/praca/motorr-martin-s-r-o/C76460,"​Baví ťa práca s autami? Rozumieš sa svojmu remeslu?
​Pracuješ samostatne, spoľahlivo, no zároveň si tímovým hráčom?
​Rád prijímaš nové výzvy a nachádzaš riešenia?
​Tak vitaj medzi nami!

​Tvojou náplňou práce bude:​

Realizácia klampiarskych prác, zváranie, rezanie, brúsenie, vŕtanie a lepenie plechov
Oprava časti karosérie po haváriách, oprava alebo výmena poškodených dielov
Rozoberanie a skladanie vozidiel po oprave
Príprava vozidla na lakovanie
Zodpovednosť za dodržiavanie stanovených technologických a procesných postupov
Dokumentácia vykonanej práce a odovzdanie servisnému poradcovi
Spolupráca s ostatnými oddeleniami
Zabezpečenie kvalitnej a rýchlej práce
Zabezpečenie dodržiavania bezpečnostných predpisov


",https://www.profesia.sk/praca/motorr-martin/O5001453?search_id=2c44acda-4082-4f27-b7f2-60aa3fc87c1b
Zdravotná sestra na diabetologickú ambulanciu,"Univerzitná nemocnica s poliklinikou Milosrdní bratia, spol. s r. o.","Nám. SNP 10, Bratislava","[""1601,6"",""3500"",""EUR"",""mesiac""]","plný úväzok, skrátený úväzok, živnosť",,"Požiadavky na zamestnanca
Pozícii vyhovujú uchádzači so vzdelaním
stredoškolské s maturitou
vysokoškolské I. stupňa
vysokoškolské II. stupňa
vysokoškolské III. stupňa
Vzdelanie v odbore
diabetológia
Jazykové znalosti
Slovenský jazyk - Stredne pokročilý (B2)
Prax na pozícii/v oblasti
diabetológia
Počet rokov praxe
2
Pozícia je vhodná pre absolventa
Áno
Osobnostné predpoklady a zručnosti
empatia
komunikatívnosť
odbornosť 
zodpovednosť
samostatnosť",2025-09-11T00:00:00.000Z,5156356,https://www.profesia.sk/praca/univerzitna-nemocnica-s-poliklinikou-milosrdni-bratia/O5156356,https://www.profesia.sk/praca/univerzitna-nemocnica-s-poliklinikou-milosrdni-bratia-spol-s-r-o/C20748,"​Naša nemocnica sa neustále rozvíja a aby sme mohli poskytovať kvalitnú a odbornú zdravotnú starostlivosť, našim klientom hľadáme do nášho tímu nové kolegyne/ nových kolegov, ktorým ich práca prináša potešenie a majú záujem sa rozvíjať, sú komunikatívni a empatickí k pacientom.

Zdravotná sestra na diabetologickej ambulancii bude poskytovať nielen odbornú ošetrovateľskú starostlivosť, ale taktiež bude aj viesť zdravotnú dokumentáciu, bude vykazovať výkony do informačného nemocničného systému. Náplňou práce bude v neposlednom rade taktiež edukácia pacienta o nutnosti zmeny životného štýlu a dodržiavania diéty, ako aj o ďalších skutočnostiach týkajúcich sa jeho zdravotného stavu.  ​
",https://www.profesia.sk/praca/univerzitna-nemocnica-s-poliklinikou-milosrdni-bratia/O5156356?search_id=2c44acda-4082-4f27-b7f2-60aa3fc87c1b
"Elektrikár, junior/senior, jedna smena iba ranná, voľné víkendy, ďalšie benefity",INDEX NOSLUŠ s.r.o.,Banská Bystrica,"[""1500"",""1500"",""EUR"",""mesiac""]",plný úväzok,junior,,2025-09-26T00:00:00.000Z,5165110,https://www.profesia.sk/praca/index-noslus/O5165110,https://www.profesia.sk/praca/index-noslus-s-r-o/C523,"Máte skúsenosti v elektrotechnickom odbore a hľadáte prácu s pestrou náplňou a super benefitmi? Do našej výrobnej spoločnosti hľadáme nového člena na pozíciu elektrikár. Ponúkame prácu na jednu zmenu, zaujímavé platové ohodnotenie podľa skúseností a mnoho ďalších benefitov, ako napríklad ročnú valorizáciu mzdy a iné. Nástup je možný ihneď.

Náplň práce:
- Údržba budov a technického zariadenia budov
- Odstraňovanie porúch elektrických zariadení v rámci svojej kvalifikácie
- Preventívna údržba elektrických zariadení",https://www.profesia.sk/praca/index-noslus/O5165110?search_id=2c44acda-4082-4f27-b7f2-60aa3fc87c1b
Sanitár/Sanitárka,"Univerzitná nemocnica s poliklinikou Milosrdní bratia, spol. s r. o.","Nám. SNP 10, Bratislava","[""1072"",""1072"",""EUR"",""mesiac""]",plný úväzok,,"Požiadavky na zamestnanca
Pozícii vyhovujú uchádzači so vzdelaním
stredoškolské bez maturity
stredoškolské s maturitou
nadstavbové/vyššie odborné vzdelanie
študent vysokej školy
Vzdelanie v odbore
vzdelanie v odbore sanitár
Jazykové znalosti
Slovenský jazyk - Pokročilý (C1)
Pozícia je vhodná pre absolventa
Áno
Osobnostné predpoklady a zručnosti
komunikatívnosť
zodpovednosť
empatický prístup k pacientom
tímový hráč

​​",2025-09-11T00:00:00.000Z,5076557,https://www.profesia.sk/praca/univerzitna-nemocnica-s-poliklinikou-milosrdni-bratia/O5076557,https://www.profesia.sk/praca/univerzitna-nemocnica-s-poliklinikou-milosrdni-bratia-spol-s-r-o/C20748,"


starostlivosť o pacientov na lôžkovom oddelení OAIM alebo na internom oddelení
sprevádzanie a prevážanie pacientov na odborné vyšetrenia v rámci zariadenia 
umývanie a dezinfekcia prostredia a pracovných pomôcok
poskytovanie hygienickej starostlivosti pacientom


",https://www.profesia.sk/praca/univerzitna-nemocnica-s-poliklinikou-milosrdni-bratia/O5076557?search_id=2c44acda-4082-4f27-b7f2-60aa3fc87c1b
Chief Financial Officer/ka (CFO),"BOXYLAND, s. r. o.","Štúrova 4, Staré Mesto, Slovensko, Bratislava (Pozícia umožňuje občasnú prácu z domu)","[""3500"",""3500"",""EUR"",""mesiac""]","plný úväzok, živnosť",,"Požiadavky na zamestnanca
Pozícii vyhovujú uchádzači so vzdelaním
vysokoškolské I. stupňa
vysokoškolské II. stupňa
vysokoškolské III. stupňa
Jazykové znalosti
Anglický jazyk - Stredne pokročilý (B2)
Ostatné znalosti
Microsoft Excel - Pokročilý
Microsoft PowerPoint - Pokročilý
Prax na pozícii/v oblasti
5
Počet rokov praxe
5",2025-09-26T00:00:00.000Z,5165108,https://www.profesia.sk/praca/boxyland/O5165108,https://www.profesia.sk/praca/boxyland-s-r-o/C250947,"


HĽADÁME CFO PRE RÝCHLO RASTÚCI TECH/REALITY STARTUP

Do nášho dynamického startupu na pomedzí technológií a realít hľadáme skúseného a samostatného Chief Financial Officer/ku (CFO), ktorý sa stane kľúčovým členom nášho manažmentu a bude nastavovať finančné procesy, poriadok a smerovanie firmy v domácom aj medzinárodnom kontexte.
Chceš byť súčasťou re-designu financií 21. storočia?
Baví ťa predstava, že budeš shapovat finance? Hľadáme práve teba!

ČO BUDE TVOJOU ÚLOHOU:

Kompletný finančný manažment (plánovanie, controlling, reporting, evidencia, účtovníctvo, dane, cash flow, business plán)

Samostatná spolupráca so zahraničnými účtovnými firmami

Tvorba a nastavovanie procesov, pravidiel a štruktúr – jednoducho, efektívne 

Schopnosť reprezentácie firmy v komunikácii s investormi aj v medzinárodnom prostredí

Implementácia moderných nástrojov na efektívny management - automatizácie a  reporting




KOHO HĽADÁME:

Osobu so skúsenosťami z dynamického, podnikateľského prostredia, ideálne zo startupu alebo technologickej firmy

Skúsenosti s budovaním firmy “od nuly” alebo v období rýchleho rastu

Výbornú znalosť anglického jazyka, schopnosť samostatne komunikovať so zahraničnými partnermi

Zručnosť v nastavovaní procesov a systémov (ale s citom pre jednoduchosť)

Pro - aktivitu, zodpovednosť a schopnosť samostatne rozhodovať a obhajovať svoje návrhy

Moderný mindset: otvorenosť voči novým nástrojom, technológiám, AI a novým spôsobom práce

ČO PONÚKAME:

Možnosť byť pri raste a formovaní ambiciózneho projektu s medzinárodným potenciálom

Priestor na samostatnosť, rozhodovanie a nápady 

Flexibilné prostredie startupu so zdravou mierou slobody a zodpovednosti

Ak sa v tomto popise vidíš a cítiš sa na výzvu vybudovať moderné finančné riadenie v rýchlorastúcom projekte, daj nám o sebe vedieť. 

​





",https://www.profesia.sk/praca/boxyland/O5165108?search_id=2c44acda-4082-4f27-b7f2-60aa3fc87c1b
